经营本部,地区,城市代码,省,市,县区,乡/镇/街道,收送情况
中南,,,福建省,,,,非全境
中南,福州区,591,福建省,福州市,,,非全境
中南,福州区,591,福建省,福州市,鼓楼区,,全境
中南,福州区,591,福建省,福州市,鼓楼区,鼓东街道,全境
中南,福州区,591,福建省,福州市,鼓楼区,鼓西街道,全境
中南,福州区,591,福建省,福州市,鼓楼区,温泉街道,全境
中南,福州区,591,福建省,福州市,鼓楼区,东街街道,全境
中南,福州区,591,福建省,福州市,鼓楼区,南街街道,全境
中南,福州区,591,福建省,福州市,鼓楼区,安泰街道,全境
中南,福州区,591,福建省,福州市,鼓楼区,华大街道,全境
中南,福州区,591,福建省,福州市,鼓楼区,水部街道,全境
中南,福州区,591,福建省,福州市,鼓楼区,五凤街道,全境
中南,福州区,591,福建省,福州市,鼓楼区,洪山镇,全境
中南,福州区,591,福建省,福州市,台江区,,全境
中南,福州区,591,福建省,福州市,台江区,瀛洲街道,全境
中南,福州区,591,福建省,福州市,台江区,后洲街道,全境
中南,福州区,591,福建省,福州市,台江区,义洲街道,全境
中南,福州区,591,福建省,福州市,台江区,新港街道,全境
中南,福州区,591,福建省,福州市,台江区,上海街道,全境
中南,福州区,591,福建省,福州市,台江区,苍霞街道,全境
中南,福州区,591,福建省,福州市,台江区,茶亭街道,全境
中南,福州区,591,福建省,福州市,台江区,洋中街道,全境
中南,福州区,591,福建省,福州市,台江区,鳌峰街道,全境
中南,福州区,591,福建省,福州市,台江区,宁化街道,全境
中南,福州区,591,福建省,福州市,仓山区,,全境
中南,福州区,591,福建省,福州市,仓山区,仓前街道,全境
中南,福州区,591,福建省,福州市,仓山区,东升街道,全境
中南,福州区,591,福建省,福州市,仓山区,对湖街道,全境
中南,福州区,591,福建省,福州市,仓山区,临江街道,全境
中南,福州区,591,福建省,福州市,仓山区,三叉街街道,全境
中南,福州区,591,福建省,福州市,仓山区,上渡街道,全境
中南,福州区,591,福建省,福州市,仓山区,下渡街道,全境
中南,福州区,591,福建省,福州市,仓山区,金山街道,全境
中南,福州区,591,福建省,福州市,仓山区,仓山镇,全境
中南,福州区,591,福建省,福州市,仓山区,城门镇,全境
中南,福州区,591,福建省,福州市,仓山区,盖山镇,全境
中南,福州区,591,福建省,福州市,仓山区,建新镇,全境
中南,福州区,591,福建省,福州市,仓山区,螺洲镇,全境
中南,福州区,591,福建省,福州市,马尾区,,全境
中南,福州区,591,福建省,福州市,马尾区,罗星街道,全境
中南,福州区,591,福建省,福州市,马尾区,马尾镇,全境
中南,福州区,591,福建省,福州市,马尾区,亭江镇,全境
中南,福州区,591,福建省,福州市,马尾区,琅岐镇,自寄自取
中南,福州区,591,福建省,福州市,晋安区,,全境
中南,福州区,591,福建省,福州市,晋安区,茶园街道,全境
中南,福州区,591,福建省,福州市,晋安区,王庄街道,全境
中南,福州区,591,福建省,福州市,晋安区,象园街道,全境
中南,福州区,591,福建省,福州市,晋安区,鼓山镇,全境
中南,福州区,591,福建省,福州市,晋安区,新店镇,全境
中南,福州区,591,福建省,福州市,晋安区,岳峰镇,全境
中南,福州区,591,福建省,福州市,晋安区,宦溪镇,全境
中南,福州区,591,福建省,福州市,晋安区,寿山乡,全境
中南,福州区,591,福建省,福州市,晋安区,日溪乡,全境
中南,福州区,591,福建省,福州市,闽侯县,,全境
中南,福州区,591,福建省,福州市,闽侯县,甘蔗街道,全境
中南,福州区,591,福建省,福州市,闽侯县,白沙镇,全境
